{
'Raw input: ######kkoyöjy':'('LD output: kkoyöjy', 'UDT output: kkoyöjy')'
'Raw input: ####grftjpp##':'('LD output: grftjpp', 'UDT output: grftjpp')'
'Raw input: ###grftjpp###':'('LD output: grftjpp', 'UDT output: grftjpp')'
'Raw input: ##grftjpp####':'('LD output: grftjpp', 'UDT output: grftjpp')'
'Raw input: #grftjpp#####':'('LD output: grftjpp', 'UDT output: grftjpp')'
'Raw input: grftjpp######':'('LD output: grftjpp', 'UDT output: grftjpp')'
'Raw input: ######nysägdi':'('LD output: nysägdi', 'UDT output: nysägdi')'
'Raw input: #####nysägdi#':'('LD output: nysägdi', 'UDT output: nysägdi')'
'Raw input: ####nysägdi##':'('LD output: nysägdi', 'UDT output: nysägdi')'
'Raw input: ###nysägdi###':'('LD output: nysägdi', 'UDT output: nysägdi')'
'Raw input: ##nysägdi####':'('LD output: nysägdi', 'UDT output: nysägdi')'
'Raw input: #nysägdi#####':'('LD output: nysägdi', 'UDT output: nysägdi')'
'Raw input: nysägdi######':'('LD output: nysägdi', 'UDT output: nysägdi')'
'Raw input: ######mstopys':'('LD output: mstopys', 'UDT output: mstopys')'
'Raw input: #####mstopys#':'('LD output: mstopys', 'UDT output: mstopys')'
'Raw input: ####mstopys##':'('LD output: mstopys', 'UDT output: mstopys')'
'Raw input: ###mstopys###':'('LD output: mstopys', 'UDT output: mstopys')'
'Raw input: ##mstopys####':'('LD output: mstopys', 'UDT output: mstopys')'
'Raw input: #mstopys#####':'('LD output: mstopys', 'UDT output: mstopys')'
'Raw input: mstopys######':'('LD output: mstopys', 'UDT output: mstopys')'
'Raw input: ######rrejähs':'('LD output: rrejähs', 'UDT output: rrejähs')'
'Raw input: #####rrejähs#':'('LD output: rrejähs', 'UDT output: rrejähs')'
'Raw input: ####rrejähs##':'('LD output: rrejähs', 'UDT output: rrejähs')'
'Raw input: ###rrejähs###':'('LD output: rrejähs', 'UDT output: rrejähs')'
'Raw input: ##rrejähs####':'('LD output: rrejähs', 'UDT output: rrejähs')'
'Raw input: #rrejähs#####':'('LD output: rrejähs', 'UDT output: rrejähs')'
'Raw input: rrejähs######':'('LD output: rrejähs', 'UDT output: rrejähs')'
'Raw input: ######ytmrpbp':'('LD output: ytmrpbp', 'UDT output: ytmrpbp')'
'Raw input: #####ytmrpbp#':'('LD output: yymrpbp', 'UDT output: ytmrpbp')'
'Raw input: ####ytmrpbp##':'('LD output: ytmrpbp', 'UDT output: ytmrpbp')'
'Raw input: ###ytmrpbp###':'('LD output: ytmrpbp', 'UDT output: ytmrpbp')'
'Raw input: ##ytmrpbp####':'('LD output: ytmrpbp', 'UDT output: ytmrpbp')'
'Raw input: #ytmrpbp#####':'('LD output: ytmrpbp', 'UDT output: ytmrpbp')'
'Raw input: ytmrpbp######':'('LD output: ytmrpbp', 'UDT output: ytmrpbp')'
'Raw input: ######mötdkjb':'('LD output: mötdkjb', 'UDT output: mötdkjb')'
'Raw input: #####mötdkjb#':'('LD output: mötdkjb', 'UDT output: mötdkjb')'
'Raw input: ####mötdkjb##':'('LD output: mötdkjb', 'UDT output: mötdkjb')'
'Raw input: ###mötdkjb###':'('LD output: mötdkjb', 'UDT output: mötdkjb')'
'Raw input: ##mötdkjb####':'('LD output: mötdkjb', 'UDT output: mötdkjb')'
'Raw input: #mötdkjb#####':'('LD output: mötdkjb', 'UDT output: mötdkjb')'
'Raw input: mötdkjb######':'('LD output: mötdkjb', 'UDT output: mötdkjb')'
'Raw input: ######aläpkbi':'('LD output: aläpkbi', 'UDT output: aläpkbi')'
'Raw input: #####aläpkbi#':'('LD output: aläpkbi', 'UDT output: aläpkbi')'
'Raw input: ####aläpkbi##':'('LD output: aläpkbi', 'UDT output: aläpkbi')'
'Raw input: ###aläpkbi###':'('LD output: aläpkbi', 'UDT output: aläpkbi')'
'Raw input: ##aläpkbi####':'('LD output: aläpkbi', 'UDT output: aläpkbi')'
'Raw input: #aläpkbi#####':'('LD output: aläpkbi', 'UDT output: aläpkbi')'
'Raw input: aläpkbi######':'('LD output: aläpkbi', 'UDT output: aläpkbi')'
'Raw input: ######pklsmvy':'('LD output: pklsmvy', 'UDT output: pklsmvy')'
'Raw input: #####pklsmvy#':'('LD output: pklsmvy', 'UDT output: pklsmvy')'
'Raw input: ####pklsmvy##':'('LD output: pklsmvy', 'UDT output: pklsmvy')'
'Raw input: ###pklsmvy###':'('LD output: pklsmvy', 'UDT output: pklsmvy')'
'Raw input: ##pklsmvy####':'('LD output: pklsmvy', 'UDT output: pklsmvy')'
'Raw input: #pklsmvy#####':'('LD output: pklsmvy', 'UDT output: pklsmvy')'
'Raw input: pklsmvy######':'('LD output: pklsmvy', 'UDT output: pklsmvy')'
'Raw input: ######egegpsf':'('LD output: egegpsf', 'UDT output: egegpsf')'
'Raw input: #####egegpsf#':'('LD output: egegpff', 'UDT output: egegpsf')'
'Raw input: ####egegpsf##':'('LD output: egegpsf', 'UDT output: egegpsf')'
'Raw input: ###egegpsf###':'('LD output: egegpsf', 'UDT output: egegpsf')'
'Raw input: ##egegpsf####':'('LD output: egegpsf', 'UDT output: egegpsf')'
'Raw input: #egegpsf#####':'('LD output: egegpsf', 'UDT output: egegpsf')'
'Raw input: egegpsf######':'('LD output: egegpsf', 'UDT output: egegpsf')'
'Raw input: ######ältyhok':'('LD output: ältyhok', 'UDT output: ältyhok')'
'Raw input: #####ältyhok#':'('LD output: ältyhok', 'UDT output: ältyhok')'
'Raw input: ####ältyhok##':'('LD output: ältyhok', 'UDT output: ältyhok')'
'Raw input: ###ältyhok###':'('LD output: ältyhok', 'UDT output: ältyhok')'
'Raw input: ##ältyhok####':'('LD output: ältyhok', 'UDT output: ältyhok')'
'Raw input: #ältyhok#####':'('LD output: ältyhok', 'UDT output: ältyhok')'
'Raw input: ältyhok######':'('LD output: ältyhok', 'UDT output: ältyhok')'
'Raw input: ######önäbyäl':'('LD output: önäbyäl', 'UDT output: önäbyäl')'
'Raw input: #####önäbyäl#':'('LD output: önäbyäl', 'UDT output: önäbyäl')'
'Raw input: ####önäbyäl##':'('LD output: önäbyäl', 'UDT output: önäbyäl')'
'Raw input: ###önäbyäl###':'('LD output: önäbyäl', 'UDT output: önäbyäl')'
'Raw input: ##önäbyäl####':'('LD output: önäbyäl', 'UDT output: önäbyäl')'
'Raw input: #önäbyäl#####':'('LD output: önäbyäl', 'UDT output: önäbyäl')'
'Raw input: önäbyäl######':'('LD output: önäbyäl', 'UDT output: önäbyäl')'
'Raw input: ######dysfpyf':'('LD output: dysfpyf', 'UDT output: dysfpyf')'
'Raw input: #####dysfpyf#':'('LD output: dysfpyf', 'UDT output: dysfpyf')'
'Raw input: ####dysfpyf##':'('LD output: dysfpyf', 'UDT output: dysfpyf')'
'Raw input: ###dysfpyf###':'('LD output: dysfpyf', 'UDT output: dysfpyf')'
'Raw input: ##dysfpyf####':'('LD output: dysfpyf', 'UDT output: dysfpyf')'
'Raw input: #dysfpyf#####':'('LD output: dysfpyf', 'UDT output: dysfpyf')'
'Raw input: dysfpyf######':'('LD output: dysfpyf', 'UDT output: dysfpyf')'
'Raw input: ######tnökndv':'('LD output: tnökndv', 'UDT output: tnökndv')'
'Raw input: #####tnökndv#':'('LD output: tnökndv', 'UDT output: tnökndv')'
'Raw input: ####tnökndv##':'('LD output: tnökndv', 'UDT output: tnökndv')'
'Raw input: ###tnökndv###':'('LD output: tnökndv', 'UDT output: tnökndv')'
'Raw input: ##tnökndv####':'('LD output: tnökndv', 'UDT output: tnökndv')'
'Raw input: #tnökndv#####':'('LD output: tnökndv', 'UDT output: tnökndv')'
'Raw input: tnökndv######':'('LD output: tnökndv', 'UDT output: tnökndv')'
'Raw input: ######vmuklbo':'('LD output: vmuklbo', 'UDT output: vmuklbo')'
'Raw input: #####vmuklbo#':'('LD output: vmuklbo', 'UDT output: vmuklbo')'
'Raw input: ####vmuklbo##':'('LD output: vmuklbo', 'UDT output: vmuklbo')'
'Raw input: ###vmuklbo###':'('LD output: vmuklbo', 'UDT output: vmuklbo')'
'Raw input: ##vmuklbo####':'('LD output: vmuklbo', 'UDT output: vmuklbo')'
'Raw input: #vmuklbo#####':'('LD output: vmuklbo', 'UDT output: vmuklbo')'
'Raw input: vmuklbo######':'('LD output: vmuklbo', 'UDT output: vmuklbo')'
'Raw input: ######mhjmnhm':'('LD output: mhjmnhm', 'UDT output: mhjmnhm')'
'Raw input: #####mhjmnhm#':'('LD output: mhjmnhm', 'UDT output: mhjmnhm')'
'Raw input: ####mhjmnhm##':'('LD output: mhjmnhm', 'UDT output: mhjmnhm')'
'Raw input: ###mhjmnhm###':'('LD output: mhjmnhm', 'UDT output: mhjmnhm')'
'Raw input: ##mhjmnhm####':'('LD output: mhjmnhm', 'UDT output: mhjmnhm')'
'Raw input: #mhjmnhm#####':'('LD output: mhjmnhm', 'UDT output: mhjmnhm')'
'Raw input: mhjmnhm######':'('LD output: mhjmnhm', 'UDT output: mhjmnhm')'
'Raw input: ######hblräkp':'('LD output: hblräkp', 'UDT output: hblräkp')'
'Raw input: #####hblräkp#':'('LD output: hblräkp', 'UDT output: hblräkp')'
'Raw input: ####hblräkp##':'('LD output: hblräkp', 'UDT output: hblräkp')'
'Raw input: ###hblräkp###':'('LD output: hblräkp', 'UDT output: hblräkp')'
'Raw input: ##hblräkp####':'('LD output: hblräkp', 'UDT output: hblräkp')'
'Raw input: #hblräkp#####':'('LD output: hblräkp', 'UDT output: hblräkp')'
'Raw input: hblräkp######':'('LD output: hblräkp', 'UDT output: hblräkp')'
'Raw input: ######snvpvär':'('LD output: snvpvär', 'UDT output: snvpvär')'
'Raw input: #####snvpvär#':'('LD output: snvpvär', 'UDT output: snvpvär')'
'Raw input: ####snvpvär##':'('LD output: snvpvär', 'UDT output: snvpvär')'
'Raw input: ###snvpvär###':'('LD output: snvpvär', 'UDT output: snvpvär')'
'Raw input: ##snvpvär####':'('LD output: snvpvär', 'UDT output: snvpvär')'
'Raw input: #snvpvär#####':'('LD output: snvpvär', 'UDT output: snvpvär')'
'Raw input: snvpvär######':'('LD output: snvpvär', 'UDT output: snvpvär')'
'Raw input: ######vkutkyi':'('LD output: vkutkyi', 'UDT output: vkutkyi')'
'Raw input: #####vkutkyi#':'('LD output: vkutkyi', 'UDT output: vkutkyi')'
'Raw input: ####vkutkyi##':'('LD output: vkutkyi', 'UDT output: vkutkyi')'
'Raw input: ###vkutkyi###':'('LD output: vkutkyi', 'UDT output: vkutkyi')'
'Raw input: ##vkutkyi####':'('LD output: vkutkyi', 'UDT output: vkutkyi')'
'Raw input: #vkutkyi#####':'('LD output: vkutkyi', 'UDT output: vkutkyi')'
'Raw input: vkutkyi######':'('LD output: vkutkyi', 'UDT output: vkutkyi')'
'Raw input: ######fimvetb':'('LD output: fimvetb', 'UDT output: fimvetb')'
'Raw input: #####fimvetb#':'('LD output: fimvetb', 'UDT output: fimvetb')'
'Raw input: ####fimvetb##':'('LD output: fimvetb', 'UDT output: fimvetb')'
'Raw input: ###fimvetb###':'('LD output: fimvetb', 'UDT output: fimvetb')'
'Raw input: ##fimvetb####':'('LD output: fimvetb', 'UDT output: fimvetb')'
'Raw input: #fimvetb#####':'('LD output: fimvetb', 'UDT output: fimvetb')'
'Raw input: fimvetb######':'('LD output: fimvetb', 'UDT output: fimvetb')'
'Raw input: ######tsmvdka':'('LD output: tsmvdka', 'UDT output: tsmvdka')'
'Raw input: #####tsmvdka#':'('LD output: tsmvdka', 'UDT output: tsmvdka')'
'Raw input: ####tsmvdka##':'('LD output: tsmvdka', 'UDT output: tsmvdka')'
'Raw input: ###tsmvdka###':'('LD output: tsmmdka', 'UDT output: tsmvdka')'
'Raw input: ##tsmvdka####':'('LD output: tsmvdka', 'UDT output: tsmvdka')'
'Raw input: #tsmvdka#####':'('LD output: tsmvdka', 'UDT output: tsmvdka')'
'Raw input: tsmvdka######':'('LD output: tsmvdka', 'UDT output: tsmvdka')'
'Raw input: ######lämuunv':'('LD output: lämuunv', 'UDT output: lämuunv')'
'Raw input: #####lämuunv#':'('LD output: lämuunv', 'UDT output: lämuunv')'
'Raw input: ####lämuunv##':'('LD output: lämuunv', 'UDT output: lämuunv')'
'Raw input: ###lämuunv###':'('LD output: lämuunv', 'UDT output: lämuunv')'
'Raw input: ##lämuunv####':'('LD output: lämuunv', 'UDT output: lämuunv')'
'Raw input: #lämuunv#####':'('LD output: lämuunv', 'UDT output: lämuunv')'
'Raw input: lämuunv######':'('LD output: lämuunv', 'UDT output: lämuunv')'
'Raw input: ######ginyöäy':'('LD output: ginyöäy', 'UDT output: ginyöäy')'
'Raw input: #####ginyöäy#':'('LD output: ginyöäy', 'UDT output: ginyöäy')'
'Raw input: ####ginyöäy##':'('LD output: ginyöäy', 'UDT output: ginyöäy')'
'Raw input: ###ginyöäy###':'('LD output: ginyöäy', 'UDT output: ginyöäy')'
'Raw input: ##ginyöäy####':'('LD output: ginyöäy', 'UDT output: ginyöäy')'
'Raw input: #ginyöäy#####':'('LD output: ginyöäy', 'UDT output: ginyöäy')'
'Raw input: ginyöäy######':'('LD output: ginyöäy', 'UDT output: ginyöäy')'
'Raw input: ######jmäeeoo':'('LD output: jmäeeoo', 'UDT output: jmäeeoo')'
'Raw input: #####jmäeeoo#':'('LD output: jmäeeoo', 'UDT output: jmäeeoo')'
'Raw input: ####jmäeeoo##':'('LD output: jmäeeoo', 'UDT output: jmäeeoo')'
'Raw input: ###jmäeeoo###':'('LD output: jmäeeoo', 'UDT output: jmäeeoo')'
'Raw input: ##jmäeeoo####':'('LD output: jmäeeoo', 'UDT output: jmäeeoo')'
'Raw input: #jmäeeoo#####':'('LD output: jmäeeoo', 'UDT output: jmäeeoo')'
'Raw input: jmäeeoo######':'('LD output: jmäeeoo', 'UDT output: jmäeeoo')'
'Raw input: ######ogepokä':'('LD output: ogepokä', 'UDT output: ogepokä')'
'Raw input: #####ogepokä#':'('LD output: ogepokä', 'UDT output: ogepokä')'
'Raw input: ####ogepokä##':'('LD output: ogepokä', 'UDT output: ogepokä')'
'Raw input: ###ogepokä###':'('LD output: ogepokä', 'UDT output: ogepokä')'
'Raw input: ##ogepokä####':'('LD output: ogepokä', 'UDT output: ogepokä')'
'Raw input: #ogepokä#####':'('LD output: ogepokä', 'UDT output: ogepokä')'
'Raw input: ogepokä######':'('LD output: ogepokä', 'UDT output: ogepokä')'
'Raw input: ######vvortfd':'('LD output: vvortfd', 'UDT output: vvortfd')'
'Raw input: #####vvortfd#':'('LD output: vvortfd', 'UDT output: vvortfd')'
'Raw input: ####vvortfd##':'('LD output: vvortfd', 'UDT output: vvortfd')'
'Raw input: ###vvortfd###':'('LD output: vvortfd', 'UDT output: vvortfd')'
'Raw input: ##vvortfd####':'('LD output: vvortfd', 'UDT output: vvortfd')'
'Raw input: #vvortfd#####':'('LD output: vvortfd', 'UDT output: vvortfd')'
'Raw input: vvortfd######':'('LD output: vvortfd', 'UDT output: vvortfd')'
'Raw input: ######ätsäulf':'('LD output: ätsäulf', 'UDT output: ätsäulf')'
'Raw input: #####ätsäulf#':'('LD output: ätsäulf', 'UDT output: ätsäulf')'
'Raw input: ####ätsäulf##':'('LD output: ätsäulf', 'UDT output: ätsäulf')'
'Raw input: ###ätsäulf###':'('LD output: ätsäulf', 'UDT output: ätsäulf')'
'Raw input: ##ätsäulf####':'('LD output: ätsäulf', 'UDT output: ätsäulf')'
'Raw input: #ätsäulf#####':'('LD output: ätsäulf', 'UDT output: ätsäulf')'
'Raw input: ätsäulf######':'('LD output: ätsäulf', 'UDT output: ätsäulf')'
'Raw input: ######omkpebv':'('LD output: omkpebv', 'UDT output: omkpebv')'
'Raw input: #####omkpebv#':'('LD output: omkkebv', 'UDT output: omkpebv')'
'Raw input: ####omkpebv##':'('LD output: omkpebv', 'UDT output: omkpebv')'
'Raw input: ###omkpebv###':'('LD output: omkpebv', 'UDT output: omkpebv')'
'Raw input: ##omkpebv####':'('LD output: omkpebv', 'UDT output: omkpebv')'
'Raw input: #omkpebv#####':'('LD output: ommpebv', 'UDT output: omkpebv')'
'Raw input: omkpebv######':'('LD output: omkpebv', 'UDT output: omkpebv')'
'Raw input: ######otyshsp':'('LD output: otyshsp', 'UDT output: otyshsp')'
'Raw input: #####otyshsp#':'('LD output: otyshsp', 'UDT output: otyshsp')'
'Raw input: ####otyshsp##':'('LD output: otyshsp', 'UDT output: otyshsp')'
'Raw input: ###otyshsp###':'('LD output: otyshsp', 'UDT output: otyshsp')'
'Raw input: ##otyshsp####':'('LD output: otyshsp', 'UDT output: otyshsp')'
'Raw input: #otyshsp#####':'('LD output: otyshsp', 'UDT output: otyshsp')'
'Raw input: otyshsp######':'('LD output: otyshsp', 'UDT output: otyshsp')'
'Raw input: ######rruömdf':'('LD output: rruömdf', 'UDT output: rruömdf')'
'Raw input: #####rruömdf#':'('LD output: rruömdf', 'UDT output: rruömdf')'
'Raw input: ####rruömdf##':'('LD output: rruömdf', 'UDT output: rruömdf')'
'Raw input: ###rruömdf###':'('LD output: rruömdf', 'UDT output: rruömdf')'
'Raw input: ##rruömdf####':'('LD output: rruömdf', 'UDT output: rruömdf')'
'Raw input: #rruömdf#####':'('LD output: rruömdf', 'UDT output: rruömdf')'
'Raw input: rruömdf######':'('LD output: rruömdf', 'UDT output: rruömdf')'
'Raw input: ######plmrehd':'('LD output: plmrehd', 'UDT output: plmrehd')'
'Raw input: #####plmrehd#':'('LD output: plmrehd', 'UDT output: plmrehd')'
'Raw input: ####plmrehd##':'('LD output: plmrhhd', 'UDT output: plmrehd')'
'Raw input: ###plmrehd###':'('LD output: plmrehd', 'UDT output: plmrehd')'
'Raw input: ##plmrehd####':'('LD output: plmrehd', 'UDT output: plmrehd')'
'Raw input: #plmrehd#####':'('LD output: plmrhhd', 'UDT output: plmrehd')'
'Raw input: plmrehd######':'('LD output: plmrehd', 'UDT output: plmrehd')'
'Raw input: ######tpdofoe':'('LD output: tpdoffe', 'UDT output: tpdofoe')'
'Raw input: #####tpdofoe#':'('LD output: tpdofoe', 'UDT output: tpdofoe')'
'Raw input: ####tpdofoe##':'('LD output: tpdofoe', 'UDT output: tpdofoe')'
'Raw input: ###tpdofoe###':'('LD output: tpdofoe', 'UDT output: tpdofoe')'
'Raw input: ##tpdofoe####':'('LD output: tpdofoe', 'UDT output: tpdofoe')'
'Raw input: #tpdofoe#####':'('LD output: tpdvfoe', 'UDT output: tpdofoe')'
'Raw input: tpdofoe######':'('LD output: tpdofoe', 'UDT output: tpdofoe')'
'Raw input: ######pfyjjvo':'('LD output: pfyjjvo', 'UDT output: pfyjjvo')'
'Raw input: #####pfyjjvo#':'('LD output: pfyjjvo', 'UDT output: pfyjjvo')'
'Raw input: ####pfyjjvo##':'('LD output: pfyjjvo', 'UDT output: pfyjjvo')'
'Raw input: ###pfyjjvo###':'('LD output: pfyjjvo', 'UDT output: pfyjjvo')'
'Raw input: ##pfyjjvo####':'('LD output: ppyjjvo', 'UDT output: pfyjjvo')'
'Raw input: #pfyjjvo#####':'('LD output: pfyjjvo', 'UDT output: pfyjjvo')'
'Raw input: pfyjjvo######':'('LD output: pfyjjvo', 'UDT output: pfyjjvo')'
'Raw input: ######ugäöäpm':'('LD output: ugäöäpm', 'UDT output: ugäöäpm')'
'Raw input: #####ugäöäpm#':'('LD output: ugäöäpm', 'UDT output: ugäöäpm')'
'Raw input: ####ugäöäpm##':'('LD output: ugäöäpm', 'UDT output: ugäöäpm')'
'Raw input: ###ugäöäpm###':'('LD output: ugäöäpm', 'UDT output: ugäöäpm')'
'Raw input: ##ugäöäpm####':'('LD output: ugäöäpm', 'UDT output: ugäöäpm')'
'Raw input: #ugäöäpm#####':'('LD output: ugäöäpm', 'UDT output: ugäöäpm')'
'Raw input: ugäöäpm######':'('LD output: ugäöäpm', 'UDT output: ugäöäpm')'
'Raw input: ######mekydsg':'('LD output: mekydsg', 'UDT output: mekydsg')'
'Raw input: #####mekydsg#':'('LD output: mekydsg', 'UDT output: mekydsg')'
'Raw input: ####mekydsg##':'('LD output: medydsg', 'UDT output: mekydsg')'
'Raw input: ###mekydsg###':'('LD output: medydsg', 'UDT output: mekydsg')'
'Raw input: ##mekydsg####':'('LD output: mekydsg', 'UDT output: mekydsg')'
'Raw input: #mekydsg#####':'('LD output: mekydsg', 'UDT output: mekydsg')'
'Raw input: mekydsg######':'('LD output: mekydsg', 'UDT output: mekydsg')'
'Raw input: ######ymbrbtm':'('LD output: ymbrbtm', 'UDT output: ymbrbtm')'
'Raw input: #####ymbrbtm#':'('LD output: ymbrbtm', 'UDT output: ymbrbtm')'
'Raw input: ####ymbrbtm##':'('LD output: ymbrbtm', 'UDT output: ymbrbtm')'
'Raw input: ###ymbrbtm###':'('LD output: ymbrbtm', 'UDT output: ymbrbtm')'
'Raw input: ##ymbrbtm####':'('LD output: ymbrbtm', 'UDT output: ymbrbtm')'
'Raw input: #ymbrbtm#####':'('LD output: ymmrbtm', 'UDT output: ymbrbtm')'
'Raw input: ymbrbtm######':'('LD output: ymbrbtm', 'UDT output: ymbrbtm')'
'Raw input: ######adäumsd':'('LD output: adäumsd', 'UDT output: adäumsd')'
'Raw input: #####adäumsd#':'('LD output: adäumsd', 'UDT output: adäumsd')'
'Raw input: ####adäumsd##':'('LD output: adäumsd', 'UDT output: adäumsd')'
'Raw input: ###adäumsd###':'('LD output: adäumsd', 'UDT output: adäumsd')'
'Raw input: ##adäumsd####':'('LD output: adäumsd', 'UDT output: adäumsd')'
'Raw input: #adäumsd#####':'('LD output: adäumsd', 'UDT output: adäumsd')'
'Raw input: adäumsd######':'('LD output: adäumsd', 'UDT output: adäumsd')'
'Raw input: ######hksälyi':'('LD output: hksälyi', 'UDT output: hksälyi')'
'Raw input: #####hksälyi#':'('LD output: hksälyi', 'UDT output: hksälyi')'
'Raw input: ####hksälyi##':'('LD output: hksälyi', 'UDT output: hksälyi')'
'Raw input: ###hksälyi###':'('LD output: hksälyi', 'UDT output: hksälyi')'
'Raw input: ##hksälyi####':'('LD output: hksälyi', 'UDT output: hksälyi')'
'Raw input: #hksälyi#####':'('LD output: hksälyi', 'UDT output: hksälyi')'
'Raw input: hksälyi######':'('LD output: hksälyi', 'UDT output: hksälyi')'
'Raw input: ######pjrekeö':'('LD output: pjrekeö', 'UDT output: pjrekeö')'
'Raw input: #####pjrekeö#':'('LD output: pjrekeö', 'UDT output: pjrekeö')'
'Raw input: ####pjrekeö##':'('LD output: pjrekeö', 'UDT output: pjrekeö')'
'Raw input: ###pjrekeö###':'('LD output: pjrekeö', 'UDT output: pjrekeö')'
'Raw input: ##pjrekeö####':'('LD output: pjrekeö', 'UDT output: pjrekeö')'
'Raw input: #pjrekeö#####':'('LD output: pjrekeö', 'UDT output: pjrekeö')'
'Raw input: pjrekeö######':'('LD output: pbrekeö', 'UDT output: pjrekeö')'
'Raw input: ######jhdvuöt':'('LD output: jhdvuöt', 'UDT output: jhdvuöt')'
'Raw input: #####jhdvuöt#':'('LD output: jhdvuöt', 'UDT output: jhdvuöt')'
'Raw input: ####jhdvuöt##':'('LD output: jhdvuöt', 'UDT output: jhdvuöt')'
'Raw input: ###jhdvuöt###':'('LD output: jhdvuöt', 'UDT output: jhdvuöt')'
'Raw input: ##jhdvuöt####':'('LD output: jhdvuöt', 'UDT output: jhdvuöt')'
'Raw input: #jhdvuöt#####':'('LD output: jhdvuöt', 'UDT output: jhdvuöt')'
'Raw input: jhdvuöt######':'('LD output: jhdvuöt', 'UDT output: jhdvuöt')'
'Raw input: ######ätsiosr':'('LD output: ätsiosr', 'UDT output: ätsiosr')'
'Raw input: #####ätsiosr#':'('LD output: ätsiosr', 'UDT output: ätsiosr')'
'Raw input: ####ätsiosr##':'('LD output: ätsiosr', 'UDT output: ätsiosr')'
'Raw input: ###ätsiosr###':'('LD output: ätsiosr', 'UDT output: ätsiosr')'
'Raw input: ##ätsiosr####':'('LD output: ätsiosr', 'UDT output: ätsiosr')'
'Raw input: #ätsiosr#####':'('LD output: ätsiosr', 'UDT output: ätsiosr')'
'Raw input: ätsiosr######':'('LD output: ätsiosr', 'UDT output: ätsiosr')'
'Raw input: ######otomäyt':'('LD output: otomäyt', 'UDT output: otomäyt')'
'Raw input: #####otomäyt#':'('LD output: otomäyt', 'UDT output: otomäyt')'
'Raw input: ####otomäyt##':'('LD output: otomäyt', 'UDT output: otomäyt')'
'Raw input: ###otomäyt###':'('LD output: otomäyt', 'UDT output: otomäyt')'
'Raw input: ##otomäyt####':'('LD output: otomäyt', 'UDT output: otomäyt')'
'Raw input: #otomäyt#####':'('LD output: otomäyt', 'UDT output: otomäyt')'
'Raw input: otomäyt######':'('LD output: otomäyt', 'UDT output: otomäyt')'
'Raw input: ######uiimgek':'('LD output: uiimgek', 'UDT output: uiimgek')'
'Raw input: #####uiimgek#':'('LD output: uiimgek', 'UDT output: uiimgek')'
'Raw input: ####uiimgek##':'('LD output: uiimgek', 'UDT output: uiimgek')'
'Raw input: ###uiimgek###':'('LD output: uiimgek', 'UDT output: uiimgek')'
'Raw input: ##uiimgek####':'('LD output: uiimgek', 'UDT output: uiimgek')'
'Raw input: #uiimgek#####':'('LD output: uiimgek', 'UDT output: uiimgek')'
'Raw input: uiimgek######':'('LD output: uiimgek', 'UDT output: uiimgek')'
'Raw input: ######ääsavbn':'('LD output: ääsavbn', 'UDT output: ääsavbn')'
'Raw input: #####ääsavbn#':'('LD output: ääsavbn', 'UDT output: ääsavbn')'
'Raw input: ####ääsavbn##':'('LD output: ääsavbn', 'UDT output: ääsavbn')'
'Raw input: ###ääsavbn###':'('LD output: ääsavbn', 'UDT output: ääsavbn')'
'Raw input: ##ääsavbn####':'('LD output: ääsavbn', 'UDT output: ääsavbn')'
'Raw input: #ääsavbn#####':'('LD output: ääsavbn', 'UDT output: ääsavbn')'
'Raw input: ääsavbn######':'('LD output: ääsavbn', 'UDT output: ääsavbn')'
'Raw input: ######onihjut':'('LD output: onihjut', 'UDT output: onihjut')'
'Raw input: #####onihjut#':'('LD output: onihjut', 'UDT output: onihjut')'
'Raw input: ####onihjut##':'('LD output: onihjut', 'UDT output: onihjut')'
'Raw input: ###onihjut###':'('LD output: onihjut', 'UDT output: onihjut')'
'Raw input: ##onihjut####':'('LD output: onihjut', 'UDT output: onihjut')'
'Raw input: #onihjut#####':'('LD output: onihjut', 'UDT output: onihjut')'
'Raw input: onihjut######':'('LD output: onihjut', 'UDT output: onihjut')'
'Raw input: ######bhäpösä':'('LD output: bhäpösä', 'UDT output: bhäpösä')'
'Raw input: #####bhäpösä#':'('LD output: bhäpösä', 'UDT output: bhäpösä')'
'Raw input: ####bhäpösä##':'('LD output: bhäpösä', 'UDT output: bhäpösä')'
'Raw input: ###bhäpösä###':'('LD output: bhäpösä', 'UDT output: bhäpösä')'
'Raw input: ##bhäpösä####':'('LD output: bhäpösä', 'UDT output: bhäpösä')'
'Raw input: #bhäpösä#####':'('LD output: bhäpösä', 'UDT output: bhäpösä')'
'Raw input: bhäpösä######':'('LD output: bhäpösä', 'UDT output: bhäpösä')'
'Raw input: ######sfpsijl':'('LD output: sfpsijl', 'UDT output: sfpsijl')'
'Raw input: #####sfpsijl#':'('LD output: sfpsijl', 'UDT output: sfpsijl')'
'Raw input: ####sfpsijl##':'('LD output: sfpsijl', 'UDT output: sfpsijl')'
'Raw input: ###sfpsijl###':'('LD output: sfpsijl', 'UDT output: sfpsijl')'
'Raw input: ##sfpsijl####':'('LD output: sfpjijl', 'UDT output: sfpsijl')'
'Raw input: #sfpsijl#####':'('LD output: sfpsijl', 'UDT output: sfpsijl')'
'Raw input: sfpsijl######':'('LD output: sfpsijl', 'UDT output: sfpsijl')'
'Raw input: ######gähhviä':'('LD output: gähhviä', 'UDT output: gähhviä')'
